# t rg re s3 s4 s6
100.0 7.658578 24.313840 7.178327766031457 7.09230754188879 2.251816505135763
200.0 9.013355 23.099974 8.845119197990007 8.667677164306925 2.397701227300032
300.0 9.060931 24.895230 8.291144384979923 8.233755668968309 2.329661019410689
400.0 9.207774 27.134336 8.502509924895246 8.410213666058239 2.3361399882366833
500.0 8.561157 26.072232 8.190105633529962 7.926755827756294 2.2997922367422503
600.0 8.675371 20.639418 8.517309343730263 8.292307326680563 2.1473104684859505
700.0 8.278444 24.039469 8.039666333560525 7.855664753903974 2.228556648683156
800.0 9.422273 25.905607 9.01650174388614 8.97254907655028 2.3110693197004055
900.0 8.171529 22.574325 7.815616578622444 7.732921205844166 2.31321389180773
1000.0 7.843335 17.085547 7.530976057276862 7.529398785231004 2.244201734256066
1100.0 7.910229 22.004532 7.5370435249241945 7.478359215006131 2.308144666929831
1200.0 8.312522 23.159764 7.9497905984173585 7.822258556824857 2.5034006130284654
1300.0 8.393990 26.608930 7.506181975244539 7.488651317630212 2.09491666357283
1400.0 8.482269 26.298099 7.684355895284914 7.686018921568998 2.149788097563431
1500.0 8.026443 22.075823 7.454596988374455 7.4610212454462435 2.189733805718883
1600.0 9.216312 29.520826 8.55154395765689 8.436935971143079 2.421093904086039
1700.0 7.995531 26.349383 7.377860196147573 7.1240665045480345 2.263846174210349
1800.0 8.586901 21.438616 8.109151861086486 7.904976939607237 2.128994043752603
1900.0 8.764972 23.665816 8.104105283882252 8.062208359120106 2.401777398946651
2000.0 8.634415 23.235217 7.933194214712428 7.856080677028854 2.3095761591468027
2100.0 9.507598 30.854529 8.316401514372469 8.23030041893058 2.2314775660969364
2200.0 9.383617 29.126467 8.660316008304779 8.459799377133203 2.3169451194563404
2300.0 9.626017 27.963128 9.054827597557896 8.861448902250247 2.3826214562540677
2400.0 9.306081 28.014938 8.891267694092626 8.590981094507288 2.3444304650120875
2500.0 9.606454 28.403407 9.045099914808704 8.822653325938832 2.3063552707334924
2600.0 8.467674 26.590915 7.723494825061357 7.576869245398986 2.324755148721499
2700.0 8.614414 25.874215 8.073349928597416 7.809996644756249 2.343853285415884
2800.0 8.543214 25.063122 7.7821699811143334 7.694740073527603 2.3450325802178353
2900.0 8.941055 28.384568 8.150738279074094 7.991325313048766 2.221246505283257
3000.0 7.360000 18.731827 6.934592612129887 6.892248108653062 2.364454477414558
3100.0 8.317578 25.354282 7.916533404303896 7.758691896999698 2.1710427213633148
3200.0 7.960636 27.405037 7.235376369888519 7.120598442306311 2.1243156765498163
3300.0 8.793846 28.113679 8.18214862648791 7.96376139811527 2.2500623381097515
3400.0 8.363713 23.501499 7.798646840418314 7.6885830092085214 2.3544988041612847
3500.0 8.525516 22.579739 8.078866084958326 7.948449079921336 2.2121317527221467
3600.0 8.631429 26.402961 7.922707633664137 7.72599658809812 2.2085969914945354
3700.0 9.067103 29.772947 8.127237411438815 8.118628202659105 2.1729537131217493
3800.0 10.642550 31.019053 9.730058243771925 9.603683193768996 2.3025988366016783
3900.0 8.698304 25.831424 8.030106645811472 7.920953959792302 2.2538906522043067
