# t rg re s3 s4 s6
100.0 4.271662 8.587047 4.883510845449735 4.384367227186066 3.200559249731822
200.0 4.256919 10.858352 5.074092043266549 4.384713719862822 3.6363421653599497
300.0 4.796960 11.977316 5.322334404841187 4.869070233551027 3.7573553956746513
400.0 4.403704 12.520127 5.334913742478895 4.606828207953268 3.6978829100344464
500.0 3.200539 7.720016 3.9767540574413096 3.4135901520994327 3.833232141157198
600.0 2.867666 6.276201 3.922318183274784 3.1878921339162005 4.042730882049807
700.0 4.850383 13.136424 5.195508578872052 4.7638989401889775 3.8283254035882943
800.0 3.745885 10.613451 4.802434191166598 4.061773126999668 3.4396875530998794
900.0 4.277096 12.533212 4.333899992081284 4.186604489391818 3.2620248082532495
1000.0 4.698784 11.319825 5.096161244367762 4.690189843835005 3.7343122914927784
1100.0 3.424147 10.420324 4.131732035619575 3.552068310546495 4.086100478487008
1200.0 3.684685 11.138739 4.160425323835013 3.67460499295142 3.7955953043042254
1300.0 4.312259 9.846532 4.71960580313576 4.39484032160271 3.5047414206777443
1400.0 3.481609 9.435714 4.104528699566431 3.575257236476362 3.620145751703451
1500.0 4.634053 14.745272 5.136186984065899 4.670860804185583 3.160584648309928
1600.0 4.197100 11.578688 4.8420361953891415 4.294435931561152 3.4972231126698854
1700.0 3.130156 4.722823 4.006571696479129 3.3917143830401817 3.438846012314428
1800.0 3.792326 8.281360 4.288144888103805 3.8165233838936663 4.151744849136033
1900.0 3.985560 12.334921 4.590714832071191 4.01586457471757 3.5076266119742403
2000.0 4.261715 9.278816 5.190867552399843 4.456527990536622 3.855609143258875
2100.0 4.682092 12.985271 4.834555124334147 4.566126186405298 3.9696364899782575
2200.0 3.805536 10.436276 4.330700749918183 3.7936936216971473 3.6562626736772694
2300.0 3.325864 5.636402 4.127676179751401 3.5895245826872015 3.639647025499117
2400.0 4.793817 13.889740 4.796779081479241 4.546169938041046 3.3781721947839105
2500.0 3.162128 6.458581 3.864418167785961 3.3111577621491435 3.8518431707253757
2600.0 3.058781 9.288566 3.8960880364025767 3.246661509744992 3.787126174276737
2700.0 3.931391 10.157007 4.378526912763327 3.9123756905232083 3.5989184804083436
2800.0 3.141764 8.880637 3.91328141489713 3.358325568961264 3.475017233437536
2900.0 4.012766 11.970035 4.943619891029106 4.213825347550576 3.3937119414598955
3000.0 5.146559 13.595188 5.817494949929149 5.129393071527316 3.724333830214156
3100.0 4.936562 13.770850 5.471750394858094 4.963725925456463 2.892439942076523
3200.0 3.952081 13.375671 4.433240777393419 3.9198192074258227 3.6957054906893623
3300.0 3.680388 10.629248 4.693154678597394 3.871252532991883 3.6973483019741678
3400.0 3.287359 10.245455 4.144506102519907 3.586019955428127 3.39274965370975
3500.0 4.302279 11.736734 5.1632846650869375 4.538647530217048 3.5488217988041493
