# t rg re s3 s4 s6
100.0 4.594488 13.322295 3.8953028713684446 4.069069690425403 1.6340910750109434
200.0 4.366172 8.608834 4.111163582350367 4.138557036401663 1.6477064275373523
300.0 3.150209 7.966969 2.940816128165838 2.9943629498606823 1.6112088847072492
400.0 4.237429 7.543933 4.034888378765452 3.9904572244412897 1.6823996160014023
500.0 4.723419 12.225778 4.310723821903567 4.353260955456624 1.6238462679730632
600.0 4.762306 13.485045 4.441588668351888 4.482036012391684 1.6190281985953234
700.0 3.914479 9.968786 3.655890750810978 3.711110213658029 1.6688300439625494
800.0 4.599408 13.217783 4.0553618107210045 4.0973074431351195 1.6461656174651373
900.0 4.258124 8.788839 3.9369766337193965 3.974666021065423 1.6428182803266824
1000.0 3.842653 8.837806 3.588062514474582 3.5255438113676294 1.543429639927165
1100.0 4.427346 11.074088 3.9913932854097496 4.004916592628259 1.5768888502786462
1200.0 4.897907 13.708491 4.4544992034723006 4.532694766680852 1.641013279433954
1300.0 4.491776 10.776457 4.178332850516763 4.1563541051998705 1.6349621528620524
1400.0 4.772257 14.332309 4.253773121231277 4.281331130798638 1.6068313097546345
1500.0 5.099258 12.779091 4.642062826116021 4.690243119388376 1.7545387146536466
1600.0 4.338100 9.704062 4.1795143618816955 4.192032385702163 1.6089626514660893
1700.0 3.213752 6.976244 3.1481461089696343 3.127995286852637 1.482080348589956
1800.0 5.006714 13.576494 4.437943335025361 4.560326638995133 1.602950156240524
1900.0 4.628908 13.185774 4.148805110371772 4.32736880090903 1.592268353133001
2000.0 4.553545 13.651653 3.9334444499096066 4.0804255333684125 1.5964232826363207
2100.0 4.413914 14.101194 3.9526694648966716 4.05563361530035 1.6027480454486411
2200.0 4.132889 8.794178 3.7700395307494787 3.853586037621398 1.5311598078254096
2300.0 4.803395 13.311836 4.388912653697624 4.409912915067241 1.633902686171879
2400.0 4.764100 13.722424 4.186913348169939 4.273754034032085 1.675274392048568
2500.0 3.636389 7.323359 3.3923272800824384 3.3473294637769437 1.5884849857970054
2600.0 4.136742 11.122259 3.6168704036663186 3.7850417397988685 1.6541771828805039
2700.0 4.630923 13.265891 4.290535323251577 4.330387734579118 1.6372110986647608
2800.0 4.829202 14.004183 4.275794402715676 4.370630187355878 1.5714516798702272
2900.0 3.209967 5.445490 3.1202965244637983 3.0962672646991147 1.5997900021445446
3000.0 4.008543 11.246403 3.649430471391762 3.7197476745113582 1.5783943243621315
3100.0 4.183559 6.717456 3.877649527600775 3.9214918800956724 1.6348143597664453
3200.0 4.965442 14.604459 4.419342821709045 4.493832557095943 1.6208448867783116
3300.0 4.084632 10.999318 3.737331014850215 3.7927018047430203 1.6191258708933132
3400.0 3.918052 10.965238 3.5942743014319753 3.6173191195048187 1.61859793685165
3500.0 3.803730 8.404054 3.488293772449403 3.4938392165357643 1.6486320485351378
3600.0 4.645529 11.934494 4.1131845695323825 4.209411476433716 1.580703998715082
3700.0 3.972387 10.324264 3.6240220190489016 3.6888834884165838 1.6078513675572335
3800.0 4.943652 14.587351 4.41602149619009 4.546449331165275 1.6271462429123125
3900.0 4.338058 11.460930 3.82048859462496 3.919975622966312 1.6808098003916012
4000.0 5.172396 12.983354 4.7577158478139 4.845402685419733 1.6831285742327666
