# t rg re s3 s4 s6
100.0 3.003322 5.187160 3.895155780400637 3.267673201829222 3.448535117466507
200.0 2.715711 5.646616 3.3432190300960896 2.819943380314825 3.2784124071784815
300.0 2.878487 7.213162 3.1872496232268075 2.941889673169488 3.542207023485811
400.0 3.011634 1.747790 3.9004571310444693 3.2789161476645097 4.031970061005973
500.0 2.752841 4.965008 3.82695206555382 3.0917168753309765 3.2312900429081903
600.0 3.018626 6.028815 3.5591448791520053 3.117658758363333 3.434444643430143
700.0 2.712409 7.733230 3.437414392952391 2.9398334316741463 3.4062166462329273
800.0 2.683827 3.128152 3.439335974059479 2.90546194523815 3.402022764928918
900.0 2.252818 3.654289 3.1592832884009745 2.6003861113098874 3.520514474573666
1000.0 2.439939 3.528467 3.348325341770813 2.706601663746498 3.6893736722665618
1100.0 3.052812 5.068705 3.858094017800784 3.232421298168463 4.069167788221062
1200.0 2.369798 4.658415 3.4754708969986106 2.826457339129812 3.148032513359844
1300.0 2.219357 6.082517 3.2093399097911797 2.6196679859983982 3.4654040617838175
1400.0 3.125522 7.934889 3.603018249068957 3.1974526778103693 3.025264329726295
1500.0 4.092468 10.245179 4.685783875045565 4.258818122770621 3.1876930890053594
1600.0 4.149194 12.515049 4.573475551000995 4.005740639908374 3.7851977901539073
1700.0 3.023905 10.178090 3.7722296312021975 3.2523287681082635 3.303349251021346
1800.0 3.405079 8.182931 4.276853064611206 3.636624690589328 3.7949160726473625
1900.0 3.737928 5.699379 4.353913890288602 3.9366771876497832 3.1194510893980096
2000.0 2.553423 7.318469 3.4831006365015944 2.881526878959576 3.7762591059333226
2100.0 3.862718 11.081514 4.345799159028171 3.83244558258096 3.4079768089582916
2200.0 2.605294 4.769541 3.3164496719767365 2.7728596095734823 3.1850743931204875
2300.0 2.888204 8.599483 3.6401414940014325 3.042366863086525 3.3512669156080275
2400.0 4.611258 13.231081 4.7850647941136755 4.464391209998859 3.2060421250308866
2500.0 2.566443 4.453528 3.3171848405546798 2.755696528112456 3.5343780288715734
2600.0 2.434706 3.584139 3.467850750502116 2.716942855608563 3.9114578308003582
2700.0 2.332696 4.187159 3.002195988774918 2.561011898464223 3.37555468244679
2800.0 3.396789 9.928968 3.964533165216067 3.529485285186382 3.2676066103531283
2900.0 4.367109 7.577373 4.577910958068309 4.452680102009953 3.2028569702214904
3000.0 3.717120 9.453369 4.661301455173525 4.0139226309731395 4.1358580582328885
3100.0 4.153642 11.125136 4.272118297639911 3.9144835736742047 3.37440755639802
3200.0 3.736848 8.792597 4.161948828134822 3.7092134328665782 3.2698601460286314
3300.0 4.472621 11.686249 4.835607447642002 4.406532225616419 3.604927892357992
3400.0 3.078553 8.113041 4.004092676969887 3.3647618878765657 2.827129867711503
3500.0 3.491676 9.232542 4.2843244220044525 3.6372664921566606 3.4715644786524544
3600.0 4.603535 10.384473 5.197392036367675 4.622434770576825 3.478004008370726
