# t rg re s3 s4 s6
100.0 8.580719 28.245465 8.407990685753607 8.045981317886296 2.9568082398652047
200.0 7.067952 19.972758 7.152209300256239 6.788054148189256 3.185851390170247
300.0 8.275329 24.487403 7.90757160260522 7.691990028018561 3.1632328067469504
400.0 8.504958 26.529184 7.94967348876901 7.678060991278196 3.035230072389685
500.0 10.399156 32.697480 9.461650654551246 9.305980240090657 2.9038327408866835
600.0 8.095466 25.922798 7.659066291664369 7.477643448425571 3.289533451754073
700.0 9.171271 28.484795 9.003109570725533 8.515046933434336 3.0698416191320046
800.0 8.813528 25.196789 8.476032851931327 8.183160747389438 3.1701724341766635
900.0 7.495009 26.307586 7.338073766406423 6.939724908916715 3.245408321655281
1000.0 7.979886 24.310059 7.579507334343501 7.4003954640206775 2.94305639464515
1100.0 8.993113 24.149252 8.50764757874003 8.301987217526493 3.2643488480439116
1200.0 8.485410 22.666417 8.079489836433337 7.829840461404895 3.1994202307774695
1300.0 7.667903 19.002478 7.2590622591145415 7.18079669087107 3.0137426870975426
1400.0 7.501742 19.537418 7.550540687031712 7.280219711212357 3.33805308724774
1500.0 7.241990 17.602831 6.905662672666554 6.744322905091829 3.1051004731131338
1600.0 7.713976 24.296418 7.4593829536222795 7.174053755795995 3.201211727560691
1700.0 6.192663 17.788438 6.073677007995309 5.955328144542138 2.7819864316987792
1800.0 6.366517 19.886042 6.279173971511609 6.156952631787105 3.4085532653643784
1900.0 6.902003 16.897324 6.5996452237652665 6.506341760816099 3.1229639710041615
2000.0 6.046278 14.590305 6.040116867622036 5.759134837941395 3.1722658623980933
2100.0 7.009827 19.135431 7.088007169528361 6.806553009222284 3.1563141904650984
2200.0 7.197902 19.940438 7.192756512887074 7.00350229169222 3.0253122528929124
2300.0 7.658301 19.705295 7.681228365997655 7.458878200532217 3.1368475928128015
2400.0 9.655647 26.375893 9.39890792419703 9.182580433921242 2.9885760482697212
2500.0 8.242228 23.739471 7.778779341469708 7.559117209602208 3.0095542747828468
2600.0 7.473190 21.377835 7.457568614819486 7.152595510074578 2.9913532905797493
2700.0 8.289935 26.846847 7.640523805113234 7.52743117600878 2.940462552594092
2800.0 8.468922 24.675020 8.108383915092801 7.925710310919478 3.1109938710457072
2900.0 7.848315 24.600240 7.512593773265775 7.127966991678772 2.990798941517793
3000.0 8.795780 25.067176 8.704881025330359 8.271657680260729 3.1836798673795674
3100.0 7.917729 22.191097 7.759689737613608 7.599194350455348 3.1615528410665603
3200.0 8.104750 26.992441 7.919356164121254 7.588495061609529 3.131845153502112
3300.0 8.674875 24.847122 8.862137753366024 8.446349119364953 2.9629899666257096
3400.0 7.372997 17.907326 7.16986569294694 6.979851990075336 2.9484097103724904
3500.0 6.682609 23.821071 6.37520016397233 6.097014692419184 3.4122764727774473
3600.0 7.105732 21.705638 6.983130301110062 6.6818569671155785 3.339581653067009
3700.0 6.115960 17.710399 6.105717208673179 5.932684742132808 3.1227889681089
3800.0 7.803250 23.238585 7.637433481645941 7.485443427069607 3.2607454054838008
3900.0 8.379185 26.064124 8.379845802261217 7.928124358615223 3.1311617743718716
4000.0 8.331501 24.906272 7.9392734106923095 7.643064455518027 3.137480624844616
4100.0 8.399324 24.322004 8.119411206415565 7.902473520948264 3.176416597739674
4200.0 7.649911 22.509946 7.410196852240282 7.295436859397269 3.076768252351641
4300.0 7.323793 18.895027 7.359244906828662 7.118574805068156 3.0572876794342694
4400.0 8.330216 21.399120 8.19299885267031 7.872432339504255 3.228733468303895
4500.0 8.096405 26.762280 7.892062455142602 7.618874232216874 3.231701831905735
4600.0 8.272934 23.357593 7.938077053649404 7.599094415538037 2.9300943040044944
4700.0 9.640835 28.506557 8.917675558220484 8.794664525074687 3.2532319226302113
4800.0 9.806299 24.828094 9.399010022428074 9.193274079204082 2.9230564180073917
4900.0 9.423799 26.565429 8.98900332625224 8.865245848585245 3.0311762303949923
5000.0 9.067786 25.731389 8.912591536899214 8.574167441528743 2.8212979106984433
5100.0 7.838614 23.223394 7.710872220708721 7.311555577409928 2.964768315419876
5200.0 8.139939 24.600048 7.694962843269341 7.486652906164722 2.9800823547900963
5300.0 9.073209 25.674661 8.800961676719435 8.457119800565648 3.233146886268969
5400.0 9.501237 29.698679 8.963101158763937 8.592291426520822 3.0532575331375416
5500.0 9.241576 26.827921 9.194369116829007 8.81006953750751 3.122520331046033
5600.0 8.051102 22.556163 8.06968183659761 7.789069577082314 3.021443934080974
5700.0 8.634893 28.030391 8.07385942831844 7.802563629017859 3.1217138292695945
5800.0 8.852528 22.630067 8.653978296266637 8.24058876970391 3.0064640432564
5900.0 7.871231 23.293576 7.922912926078065 7.432882050320544 2.914185681647825
6000.0 7.447397 23.366346 7.097421984062833 6.807136622972722 3.1911016228889357
6100.0 6.288495 16.743356 6.383159982030549 6.090526873768934 2.9706150576831716
6200.0 7.939816 23.322666 7.608415800903972 7.422062057600574 3.1287830986990306
6300.0 8.617314 23.630565 8.706984857057714 8.366238913637803 2.887357415821825
6400.0 8.755692 22.172788 8.472430688409816 8.36045129611497 3.205357441889164
6500.0 6.953268 20.786384 6.8334243052588555 6.5870920193261915 3.2184199325818805
6600.0 8.039323 24.748037 7.529220816426147 7.328596610928573 3.0694225485981685
6700.0 8.071721 22.380729 7.976099207356333 7.754039545313628 3.259916176695386
6800.0 8.552356 22.788879 8.584121892650415 8.297415211347388 3.3309075648959894
6900.0 9.017654 24.963472 8.752558494350758 8.542060417785235 3.2086076149813376
7000.0 8.722513 24.512263 8.552979683593616 8.19491870827499 2.784841235607213
7100.0 9.378140 26.394687 8.915221958673666 8.757165850401309 2.8792386201776003
7200.0 8.454713 21.367739 8.586424604839689 8.184073459431536 3.0306094880207177
7300.0 8.801368 26.732370 8.301595112051865 8.118881161810783 2.9404613746232386
7400.0 7.941288 23.663395 7.683028349582299 7.428874835305529 2.9808893500681752
7500.0 7.972137 25.858345 7.6110295232275185 7.343157187209267 3.1397328104750675
7600.0 7.746291 21.372524 7.219787828932562 7.0568712203316535 3.0437621658636544
7700.0 7.317445 15.017882 7.482831681522146 7.2096617442150635 2.9371707815582004
7800.0 6.905815 15.762674 6.759475166974007 6.443940349808141 3.29503333983267
7900.0 7.330691 16.647408 7.375957150846253 7.029966635489135 3.309566625288455
8000.0 7.295766 21.221496 7.099419368275018 6.769466954243316 2.789256847925151
8100.0 7.808312 21.199406 7.971961622201837 7.592585303022674 3.1022343274183033
8200.0 7.583967 23.326013 7.469443940567825 7.169029304518058 2.9152106581740447
8300.0 8.060607 24.648106 7.818522844705777 7.45879786572194 2.853402091563114
8400.0 8.473929 26.398825 8.090727571008918 7.850341624259888 3.3015742487838096
8500.0 7.741302 19.984795 7.661844869055907 7.292554773162479 3.2001198236926833
8600.0 8.487553 25.425887 8.081741616269815 7.830179590821473 3.187592133349428
8700.0 9.215580 26.579001 8.630959493707385 8.42498648707574 3.1038738523669265
8800.0 9.133904 28.924881 8.638707461735406 8.333232657773394 2.9525581595923276
8900.0 9.610584 33.132080 9.057067541460967 8.811105970395072 2.9730592327405674
9000.0 9.102953 23.480317 8.60759404905212 8.364651062052108 3.2140713004517973
9100.0 7.489331 20.392437 7.31316752843176 6.924099919723596 2.9217538828311382
9200.0 8.569936 26.583430 8.083459791515642 7.931643404391054 3.0076405493242824
9300.0 9.302737 27.800747 8.534697063659108 8.43373515054842 3.0063983328294843
9400.0 8.379676 23.968159 8.091811127953488 7.7685493233974015 3.019223544697733
9500.0 7.170805 20.751393 6.809403974600179 6.700268331858063 2.9000261331142854
9600.0 9.181437 28.043728 8.713535284271213 8.562135176933113 3.028905870657093
9700.0 9.975976 27.308558 9.853789844902414 9.401013494551249 2.9568617474257453
9800.0 9.138551 23.497748 8.910133718656887 8.633647230619042 3.180236057167783
9900.0 8.228953 17.918971 8.084974487804699 7.886355140359523 3.304903012552629
10000.0 7.736422 17.563382 8.01250400957531 7.6783361110980906 2.7444414563520882
10100.0 7.487118 17.321951 7.613878059839809 7.240616050837935 3.193598943087488
10200.0 6.631095 12.718487 6.6519268768438815 6.500327573429908 2.9740461572805517
10300.0 6.726988 13.182554 6.8265291999335 6.576228439603272 3.0768452154770203
10400.0 6.943488 15.449002 6.810356308874713 6.674334035035393 3.1751753132059766
10500.0 7.398526 18.527877 7.5690199998695125 7.131181459215214 3.038531905377951
10600.0 7.750617 23.851904 7.272339181151299 7.132039680536075 3.0457641862789093
10700.0 7.225872 26.499332 6.970903256902623 6.628406451198952 3.2033754354378208
10800.0 8.355381 24.821004 7.808553049971955 7.7180103498215695 3.158468089143443
10900.0 7.454561 21.258502 7.464818034077865 7.131847183281042 3.363343859790694
11000.0 8.729562 21.008860 8.51721113952636 8.238389168753521 3.2276479500308546
11100.0 7.021606 17.087463 6.893479172327913 6.53023474171011 2.868252656982299
11200.0 8.286215 27.693643 7.863454303851015 7.633538361461886 3.180037406341866
11300.0 8.484651 27.377559 8.054430020828297 7.7330930595426945 2.9762830764033072
11400.0 8.941521 27.211360 8.306605437591125 8.13766291171174 3.0354658535463734
11500.0 7.411675 22.084917 7.023955666930559 6.8658776080120525 3.183748865967475
11600.0 7.572230 27.719328 7.137268222924281 6.82076020744291 3.088492679712066
11700.0 8.364536 23.886212 7.813418609643248 7.63422186746185 3.2351032299114966
11800.0 8.816590 29.346843 8.46215112625919 8.045510975727469 3.1098295969412915
11900.0 8.770191 30.395882 8.032433306615143 7.78614773735164 3.0540076270601206
12000.0 8.203090 26.704876 7.652554418695797 7.431868323743878 3.148092860995734
12100.0 8.397871 22.496741 8.00280418130078 7.803787976636001 2.946352451674068
12200.0 7.814415 24.695956 7.357812084038052 7.2536236910174114 2.9403882193855635
12300.0 8.627298 23.789635 8.548172431004613 8.213974988377267 2.973827860105038
12400.0 7.625060 21.171881 7.366090076361697 7.203213745343339 3.037185300326527
12500.0 7.600539 20.195781 7.678233040183285 7.38855100273496 3.2229842338906183
12600.0 7.764065 12.872362 7.964336741316238 7.6671119755474155 3.27962074449847
12700.0 7.261374 16.144169 7.226988747157512 7.053212127305939 2.9964692694755506
12800.0 7.498653 16.638021 7.4776295233779795 7.257537819864752 3.094123846028556
12900.0 7.142455 20.557077 6.887343149360431 6.797600540604172 3.0471439471378936
13000.0 5.969900 15.640851 6.096636472932569 5.775205684667612 3.226571004212699
13100.0 5.949036 18.701582 5.8854694190815895 5.679243582675598 2.959042654408102
13200.0 6.969060 19.422444 6.838374090984671 6.690742785817426 2.8724925657597926
13300.0 9.592518 27.598642 8.769671004000605 8.805244808411379 3.19463375313369
13400.0 9.124789 25.959032 8.596602050033004 8.404115157932234 3.2286642126680536
13500.0 8.792744 25.520465 8.759273834879192 8.506270082074714 3.207083867141341
13600.0 9.644904 23.277467 9.411296666964247 9.156051866667042 3.1441622690497724
13700.0 8.122568 24.522343 8.080129348004398 7.799498479321149 3.1722962371952224
13800.0 8.050913 22.855117 7.968699109438571 7.667410564694855 3.2303763470897677
13900.0 7.885923 21.625352 7.663733592188792 7.42405860463441 3.0117096278370004
14000.0 7.639083 22.426634 7.561467574607801 7.208219587961471 3.2816881808877705
14100.0 7.789434 17.548460 7.30117678753598 7.23886615719036 3.3428300004542892
14200.0 8.528833 27.335783 7.954327218448328 7.832853803573279 3.1185868985592946
14300.0 9.972732 30.395477 9.434424628410376 9.222153832790722 2.970436000147237
14400.0 8.384218 27.698465 8.037519997915789 7.736343894324403 2.9215766050631857
14500.0 9.625956 27.349563 9.351654537721362 9.189096467931611 3.4238267725952714
