# t rg re s3 s4 s6
100.0 4.751959 12.174136 4.607741062643789 4.492957318241463 2.6303758505267196
200.0 4.553240 13.582332 4.600225447009521 4.36581945020829 2.65956156466638
300.0 4.905269 13.932267 4.949775478848176 4.739452733956824 2.5878268949378005
400.0 5.010875 12.924246 5.062031190349443 4.7895406189401415 2.5245953086283843
500.0 4.803486 12.587594 4.747588843998396 4.626990278692226 2.2507192325418677
600.0 4.007708 11.105126 4.096264655244889 3.9084322172034494 2.6803583233026123
700.0 5.240956 16.241978 4.96477435276917 4.739121399014993 2.4758681566082386
800.0 5.190335 13.080916 4.984422478028844 4.818072126953287 2.5239113824457977
900.0 5.030853 14.148374 5.0449996645914 4.7522164009382655 2.431927774483965
1000.0 4.432952 10.263527 4.620675536895925 4.390065449551314 2.4745233876071224
1100.0 4.846519 14.095664 5.042983198465878 4.720068950313028 2.3398119458256037
1200.0 5.879540 19.144393 5.729285169846419 5.350470314210786 2.387792120229134
1300.0 6.155680 17.518538 5.953722480222144 5.728591346986975 2.6003771466026975
1400.0 5.112760 11.832480 5.159374776317821 4.90896476823273 2.2892393169829317
1500.0 4.817888 13.710199 4.859156348789246 4.641823907001376 2.517944091421698
1600.0 5.155071 13.642889 4.937296498180022 4.8980464756709035 2.7184817987251786
1700.0 4.152133 11.398965 4.365366766974212 4.048859715954823 2.544062541355907
1800.0 4.444940 10.357783 4.894661746855035 4.53097418354666 2.1766228756931936
1900.0 4.639772 14.308858 4.529502779817286 4.268367090757555 2.7505095013596144
2000.0 5.917655 18.521404 5.6722242609407045 5.45535071458896 2.3845897933634577
2100.0 5.174966 13.805754 5.110223588659537 4.913324211464851 2.4386476400049335
2200.0 5.552493 14.515037 5.507321463306331 5.2603726785535665 2.4486848168562267
2300.0 3.924561 10.393448 4.021188864958714 3.8008200665711556 2.3458849786380642
2400.0 3.914972 7.827181 3.842284603837421 3.8309115639449054 2.2904353397019857
2500.0 5.158599 15.487405 4.885929798231604 4.769851361247317 2.4073457471188555
2600.0 5.129177 14.791033 5.041523942577516 4.8048698531628835 2.529932737167762
2700.0 5.111587 15.629305 5.097764907479905 4.748772468050259 2.4471492245626583
2800.0 5.001283 15.119211 4.955660935747435 4.686776092746245 2.543256108329588
2900.0 5.456042 15.236708 5.291030017793217 5.121212537906927 2.665724328754659
3000.0 4.516702 13.474008 4.28061727750169 4.19498086490211 2.524114166177212
3100.0 4.794470 14.720142 4.748833737401743 4.5549873298596335 2.5960142160715196
3200.0 5.554192 16.940128 5.304807765841537 5.110294219710331 2.1541569976010964
3300.0 5.050519 13.332864 5.008003093078509 4.834335273778166 2.2445197207849557
3400.0 4.690073 12.901939 4.695662048672581 4.538306186533565 2.770881795927638
3500.0 5.335936 15.035003 5.026685399603899 4.912172970071295 2.449644315942496
3600.0 5.247052 16.531781 5.037966662335773 4.8750031429562295 2.5553629185446676
3700.0 4.791187 14.531627 4.973143243971803 4.5837373439226115 2.520560724165406
3800.0 4.369959 13.058335 4.378237207090941 4.140608439490867 2.157331879281782
3900.0 4.765534 13.950437 4.864940436284101 4.518165892177842 2.39813917127816
4000.0 4.546410 9.810047 4.725432592838398 4.503640636030919 2.406242846780938
4100.0 5.066548 16.333268 4.791414493897952 4.611889102116338 2.466798688199091
4200.0 4.394811 9.886720 4.687682780241873 4.394012637607772 2.5626528092462704
4300.0 4.719183 14.145510 4.8514268817766855 4.537840121143299 2.546399282323559
4400.0 5.305336 15.314217 5.229726825781613 4.937311447303592 2.6004652761687366
4500.0 4.936340 13.267693 4.861246678591056 4.5674003552574165 2.697071676480192
4600.0 4.878744 13.285850 4.862569982351764 4.615142618235079 2.290912140969828
4700.0 5.465001 17.077911 5.329611415000396 5.099984010419571 2.56438756941662
4800.0 3.198998 7.128415 3.455054395584669 3.196971675977252 2.5520264826888837
4900.0 4.977733 13.962085 5.093385821231586 4.815789156273952 2.406641635668007
5000.0 4.725361 14.063112 4.498583644446145 4.335341532842187 2.581059773076362
5100.0 4.490897 11.882055 4.56630756914951 4.434857496959312 2.564489051207221
