# t rg re1 re2
188 3.051860 6.015440 6.015440
189 3.041757 5.010028 5.010028
190 2.976292 3.616690 3.616690
191 3.015252 5.536631 5.536631
192 3.060800 3.827760 3.827760
193 2.970871 3.660100 3.660100
194 2.687736 1.865337 1.865337
195 2.521877 1.286422 1.286422
196 2.388490 1.568374 1.568374
197 2.484622 2.219398 2.219398
198 2.784383 3.650499 3.650499
199 2.862380 3.190859 3.190859
200 2.634628 3.341305 3.341305
201 2.672838 3.769744 3.769744
202 2.484817 3.771027 3.771027
203 2.547637 2.831528 2.831528
204 2.759247 3.770931 3.770931
205 3.067951 4.481508 4.481508
206 2.940331 3.056801 3.056801
207 2.707670 3.355716 3.355716
208 2.818796 2.708866 2.708866
209 2.756331 3.321226 3.321226
210 2.877355 5.329097 5.329097
211 3.164150 7.460963 7.460963
212 3.539885 8.056943 8.056943
213 3.751534 7.554490 7.554490
214 3.964052 7.656885 7.656885
215 4.099231 7.649496 7.649496
216 4.029801 8.568726 8.568726
217 3.886458 6.317169 6.317169
218 3.572639 7.022480 7.022480
219 3.276891 7.193087 7.193087
220 3.105814 7.136994 7.136994
221 3.018093 6.722992 6.722992
222 2.868399 5.564723 5.564723
223 2.796058 5.357138 5.357138
224 3.059761 5.931672 5.931672
225 3.248436 6.416673 6.416673
226 3.191318 5.989210 5.989210
227 3.121223 6.565325 6.565325
228 3.125755 7.743733 7.743733
229 2.873299 9.411872 9.411872
230 2.806223 10.217526 10.217526
231 2.868367 9.248215 9.248215
232 3.084767 8.853051 8.853051
233 2.912326 8.089879 8.089879
234 2.876327 7.743171 7.743171
235 2.933790 7.956208 7.956208
236 3.110335 8.051687 8.051687
237 3.131892 7.095600 7.095600
238 3.045402 7.692713 7.692713
239 3.161138 9.802307 9.802307
240 3.259095 9.042856 9.042856
241 3.251947 8.776894 8.776894
242 3.519069 9.527174 9.527174
243 3.613032 8.777732 8.777732
244 3.498513 8.602359 8.602359
245 3.388245 7.967273 7.967273
246 3.378256 9.620609 9.620609
247 3.477722 10.121874 10.121874
248 3.578137 10.375827 10.375827
249 3.677416 11.969660 11.969660
250 3.667686 10.845294 10.845294
251 3.708343 11.115683 11.115683
252 3.583537 10.245624 10.245624
253 3.275375 9.600176 9.600176
254 2.967953 9.592850 9.592850
